"lang"
{
"Language"	"turkish"
"[english]DOTA_ControlGroup6"	"Control Group 6"
"DOTA_Escape"	"Kapat"
"[english]DOTA_Escape"	"Escape"
"DOTA_Scoreboard"	"Skor Tabelası"
"[english]DOTA_Scoreboard"	"Scoreboard"
"DOTA_Screenshot"	"Ekran Görüntüsü"
"[english]DOTA_Screenshot"	"Screenshot"
"DOTA_Voice"	"Sesli İletişim"
"[english]DOTA_Voice"	"Voice"
"DOTA_VoiceLane"	"Kulvara Ses"
"[english]DOTA_VoiceLane"	"Voice Lane"
"DOTA_ChatGlobal"	"Herkese Yaz"
"[english]DOTA_ChatGlobal"	"Chat All"
"DOTA_ChatTeam"	"Takıma Yaz"
"[english]DOTA_ChatTeam"	"Chat Team"
"DOTA_Learn_Abilities"	"Yetenek Öğren"
"[english]DOTA_Learn_Abilities"	"Ability Learn"
"DOTA_Learn_Stats"	"Özelliklerini Yükselt"
"[english]DOTA_Learn_Stats"	"Upgrade Stats"
"DOTA_UseActionItem_Key"	"Eylem Eşyası"
"[english]DOTA_UseActionItem_Key"	"Action Item"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Özellik Seviyesi: "
"[english]DOTA_StatTooltip_TotalAttributesSkilled"	"Attributes Level: "
"DOTA_DmgArmorTooltip_AttackSpeed"	"Saldırı Hızı: "
"[english]DOTA_DmgArmorTooltip_AttackSpeed"	"Attack Speed: "
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	" saniye (saldırı başına)"
"[english]DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"s per attack"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Hareket Hızı: "
"[english]DOTA_DmgArmorTooltip_MoveSpeed"	"Movement Speed: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Saldırı Hasarı:"
"[english]DOTA_DmgArmorTooltip_AttackDamage"	"Attack Damage: "
"DOTA_DmgArmorTooltip_AttackRange"	"Saldırı Menzili:"
"[english]DOTA_DmgArmorTooltip_AttackRange"	"Attack Range: "
"DOTA_DmgArmorTooltip_Armor"	"Fiziksel Zırh: "
"[english]DOTA_DmgArmorTooltip_Armor"	"Physical Armor: "
"DOTA_DmgArmorTooltip_DmgResist"	"Fiziksel Hasar Direnci: "
"[english]DOTA_DmgArmorTooltip_DmgResist"	"Physical Damage Resistance: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Büyüsel Zırh: "
"[english]DOTA_DmgArmorTooltip_MagicArmor"	"Magical Armor: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Büyüsel Hasar Direnci: "
"[english]DOTA_DmgArmorTooltip_MagicDmgResist"	"Magical Damage Resistance: "
"DOTA_HeroTaunt_Key"	"Alay Eşyası"
"[english]DOTA_HeroTaunt_Key"	"Taunt Item"
"DOTAUI_AspectNormal"	"4:3"
"[english]DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"[english]DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"[english]DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"Tam Ekran"
"[english]DOTAUI_Fullscreen"	"Fullscreen"
"DOTAUI_Window"	"Pencere"
"[english]DOTAUI_Window"	"Window"
"DOTAUI_BorderlessWindow"	"Çerçevesiz Pencere"
"[english]DOTAUI_BorderlessWindow"	"Borderless Window"
"DOTA_Welcome"	"DotA'ya Hoş Geldin"
"[english]DOTA_Welcome"	"Welcome to DotA"
"DOTA_Chat_Team"	"[TAKIM] %s1: %s2"
"[english]DOTA_Chat_Team"	"[ALLIES] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*ÖLÜ*[TAKIM] %s1: %s2"
"[english]DOTA_Chat_Team_Dead"	"*DEAD*[ALLIES] %s1: %s2"
"DOTA_Chat_Spec"	"[İzleyici] %s1: %s2"
"[english]DOTA_Chat_Spec"	"[Spectator] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"[english]DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1 %s2 adlı oyuncunun kellesini %s3 altına aldı!"
"[english]DOTA_Chat_PlayerKilled"	"%s1 just pwned %s2's head for %s3 gold!"
"DOTA_Chat_PlayerDenied"	"%s1 %s2 adlı oyuncuyu reddetti!"
"[english]DOTA_Chat_PlayerDenied"	"%s1 just denied %s2!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 intihar etti!"
"[english]DOTA_Chat_PlayerDeniedSelf"	"%s1 just committed suicide!"
"DOTA_Chat_PlayerKilledGood"	"%s1 Dire tarafından öldürüldü!"
"[english]DOTA_Chat_PlayerKilledGood"	"%s1 was just killed by The Dire!"
"DOTA_Chat_PlayerKilledBad"	"%s1 Radiant tarafından öldürüldü!"
"[english]DOTA_Chat_PlayerKilledBad"	"%s1 was just killed by The Radiant!"
"DOTA_Chat_PlayerKilledGeneric"	"%s1 bir Tarafsız tarafından öldürüldü!"
"[english]DOTA_Chat_PlayerKilledGeneric"	"%s1 was just killed by a Neutral!"
"DOTA_Chat_PlayerKilledAssist"	"%s1 öldürüldü! %s2 altın, asist yapanlar arasında paylaştırıldı:"
"[english]DOTA_Chat_PlayerKilledAssist"	"%s1 was just killed! %s2 gold is split among assists:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 bir kule yıktı!"
"[english]DOTA_Chat_TowerPlayerKilled"	"%s1 destroyed a tower!"
"DOTA_Chat_TowerKilledGood"	"Bir kule Dire tarafından yıkıldı!"
"[english]DOTA_Chat_TowerKilledGood"	"A tower was destroyed by The Dire!"
"DOTA_Chat_TowerKilledBad"	"Bir kule Radiant tarafından yıkıldı!"
"[english]DOTA_Chat_TowerKilledBad"	"A tower was destroyed by The Radiant!"
"DOTA_Chat_BarracksKilled"	"%s1 %s2 %s3 Barakaları yerle bir edildi!"
"[english]DOTA_Chat_BarracksKilled"	"%s1 %s2 %s3 Barracks has been destroyed!"
"DOTA_Chat_TowerDenied"	"%s1 bir kuleyi reddetti!"
"[english]DOTA_Chat_TowerDenied"	"%s1 denied a tower!"
"DOTA_Chat_FirstBlood"	"%s1, %s2 oyuncusunu öldürerek ilk kanı akıttı"
"[english]DOTA_Chat_FirstBlood"	"%s1 drew first blood by killing %s2"
"DOTA_Chat_DoubleKill"	"%s1 iki kişi öldürdü!"
"[english]DOTA_Chat_DoubleKill"	"%s1 got a double kill!"
"DOTA_Chat_TripleKill"	"%s1 ÜÇ kişi öldürdü!"
"[english]DOTA_Chat_TripleKill"	"%s1 has a TRIPLE kill!"
"DOTA_Chat_QuadKill"	"%s1 DÖRT KİŞİ öldürdü!"
"[english]DOTA_Chat_QuadKill"	"%s1 earned an ULTRA KILL!"
"DOTA_Chat_QuintupleKill"	"%s1 KUDURDU!!"
"[english]DOTA_Chat_QuintupleKill"	"%s1 IS ON A RAMPAGE!!"
"DOTA_Chat_KillStreak_3"	"yardırıyor"
"[english]DOTA_Chat_KillStreak_3"	"killing spree"
"DOTA_Chat_KillStreak_4"	"eziyor"
"[english]DOTA_Chat_KillStreak_4"	"dominating"
"DOTA_Chat_KillStreak_5"	"hunharca saldırıyor"
"[english]DOTA_Chat_KillStreak_5"	"mega kill"
"DOTA_Chat_KillStreak_6"	"durdurulamıyor"
"[english]DOTA_Chat_KillStreak_6"	"unstoppable"
"DOTA_Chat_KillStreak_7"	"psikopata bağladı"
"[english]DOTA_Chat_KillStreak_7"	"wicked sick"
"DOTA_Chat_KillStreak_8"	"usanmadan öldürüyor"
"[english]DOTA_Chat_KillStreak_8"	"monster kill"
"DOTA_Chat_KillStreak_9"	"ADETA BİR TANRI"
"[english]DOTA_Chat_KillStreak_9"	"GODLIKE"
"DOTA_Chat_KillStreak_10"	"ADETA BİR TANRI"
"[english]DOTA_Chat_KillStreak_10"	"GODLIKE"
"DOTA_Chat_KillStreakIs"	"%s1 %s2"
"[english]DOTA_Chat_KillStreakIs"	"%s1 is %s2"
"DOTA_Chat_KillStreakIsOn"	"%s1 %s2"
"[english]DOTA_Chat_KillStreakIsOn"	"%s1 is on a %s2"
"DOTA_Chat_KillStreakHas"	"%s1 %s2"
"[english]DOTA_Chat_KillStreakHas"	"%s1 has a %s2"
"DOTA_Chat_KillStreakMax"	"%s1 %s2 olmayı da aştı, biri şunu gebertsin!!"
"[english]DOTA_Chat_KillStreakMax"	"%s1 is beyond %s2, someone kill him!!"
"DOTA_Chat_KillStreak_Ended"	"%s1, %s2 adlı oyuncunun %s3 serisini %s4 altına sonlandırdı!"
"[english]DOTA_Chat_KillStreak_Ended"	"%s1 has just ended %s2’s %s3 streak for %s4 gold!"
"DOTA_Chat_BuyBack"	"%s1 erken canlanarak oyuna dahil oldu!"
"[english]DOTA_Chat_BuyBack"	"%s1 just bought back into the game!"
"DOTA_Chat_PickedUpAegis"	"%s1 Aegis of the Immortal'ı aldı!"
"[english]DOTA_Chat_PickedUpAegis"	"%s1 picked up Aegis of the Immortal!"
"DOTA_Chat_KilledRoshanGood"	"Roshan, Radiant tarafından öldürüldü! Tüm Radiant kahramanlarına %s1 altın verildi!"
"[english]DOTA_Chat_KilledRoshanGood"	"Roshan has been killed by the Radiant! %s1 gold to each hero of The Radiant!"
"DOTA_Chat_KilledRoshanBad"	"Roshan, Dire tarafından öldürüldü! Tüm Dire kahramanlarına %s1 altın verildi!"
"[english]DOTA_Chat_KilledRoshanBad"	"Roshan has been killed by the Dire! %s1 gold to each hero of The Dire!"
"DOTA_Chat_SuperCreepsGood"	"Tüm Dire Barakaları yıkıldı. Radiant şu anda dev yaratıklara sahip!"
"[english]DOTA_Chat_SuperCreepsGood"	"All of the Dire Barracks have fallen. The Radiant now have Mega creeps!"
"DOTA_Chat_SuperCreepsBad"	"Tüm Radiant Barakaları yıkıldı. Dire şu anda dev yaratıklara sahip!"
"[english]DOTA_Chat_SuperCreepsBad"	"All of the Radiant Barracks have fallen. The Dire now have Mega creeps!"
"DOTA_Chat_ItemPurchase"	"%s1, %s2 satın aldı!"
"[english]DOTA_Chat_ItemPurchase"	"%s1 just purchased %s2!"
"DOTA_Chat_Connect"	"%s1 oyuna bağlandı."
"[english]DOTA_Chat_Connect"	"%s1 has connected to the game."
"DOTA_Chat_Disconnect"	"%s1 adlı oyuncunun bağlantısı kesildi."
"[english]DOTA_Chat_Disconnect"	"%s1 has disconnected from the game."
"DOTA_Chat_DisconnectWaitForReconnect"	"%s1 adlı oyuncunun bağlantısı kesildi. Lütfen tekrar bağlanmasını bekleyin."
"[english]DOTA_Chat_DisconnectWaitForReconnect"	"%s1 has disconnected from the game. Please wait for them to reconnect."
"DOTA_Chat_DisconnectTimeRemaining"	"<font color='#FF0000'><b>%s1 adlı oyuncunun oyuna tekrar bağlanması için %s2 dakikası kaldı.</b></font>"
"[english]DOTA_Chat_DisconnectTimeRemaining"	"<font color='#FF0000'><b>%s1 has %s2 minute left to reconnect.</b></font>"
"DOTA_Chat_DisconnectTimeRemainingPlural"	"<font color='#FF0000'><b>%s1 adlı oyuncunun oyuna tekrar bağlanması için %s2 dakikası kaldı.</b></font>"
"[english]DOTA_Chat_DisconnectTimeRemainingPlural"	"<font color='#FF0000'><b>%s1 has %s2 minutes left to reconnect.</b></font>"
"DOTA_Chat_SafeToLeave"	"<font color='#FF0000'><b>Bu oyundan güvenli bir şekilde çıkılabilir.</b></font>"
"[english]DOTA_Chat_SafeToLeave"	"<font color='#FF0000'><b>This game is now safe to leave.</b></font>"
"DOTA_Chat_Reconnect"	"%s1 oyuna tekrar bağlandı."
"[english]DOTA_Chat_Reconnect"	"%s1 has reconnected to the game."
"DOTA_Chat_Abandon"	"%s1 oyunu terketti."
"[english]DOTA_Chat_Abandon"	"%s1 has abandoned the game."
"DOTA_Chat_Rune_DoubleDamage"	"%s1 bir <font color='#82CAFF'>Çifte Hasar</font> rünü etkinleştirdi."
"[english]DOTA_Chat_Rune_DoubleDamage"	"%s1 activated a <font color='#82CAFF'>Double Damage</font> rune."
"DOTA_Chat_Rune_Haste"	"%s1 bir <font color='#F62817'>Sürat</font> rünü etkinleştirdi."
"[english]DOTA_Chat_Rune_Haste"	"%s1 activated a <font color='#F62817'>Haste</font> rune."
"DOTA_Chat_Rune_Illusion"	"%s1 bir <font color='#FFD700'>İllüzyon</font> rünü etkinleştirdi."
"[english]DOTA_Chat_Rune_Illusion"	"%s1 activated an <font color='#FFD700'>Illusion</font> rune."
"DOTA_Chat_Rune_Invisibility"	"%s1 bir <font color='#8B008B'>Görünmezlik</font> rünü etkinleştirdi."
"[english]DOTA_Chat_Rune_Invisibility"	"%s1 activated an <font color='#8B008B'>Invisibility</font> rune."
"DOTA_Chat_Rune_Regeneration"	"%s1 bir <font color='#7FFF00'>Yenilenme</font> rünü etkinleştirdi."
"[english]DOTA_Chat_Rune_Regeneration"	"%s1 activated a <font color='#7FFF00'>Regeneration</font> rune."
"DOTA_Chat_Rune_Bottle_DoubleDamage"	"%s1 bir <font color='#82CAFF'>Çifte Hasar</font> rünü şişeledi."
"[english]DOTA_Chat_Rune_Bottle_DoubleDamage"	"%s1 has bottled a <font color='#82CAFF'>Double Damage</font> rune."
"DOTA_Chat_Rune_Bottle_Haste"	"%s1 bir <font color='#F62817'>Sürat</font> rünü şişeledi."
"[english]DOTA_Chat_Rune_Bottle_Haste"	"%s1 has bottled a <font color='#F62817'>Haste</font> rune."
"DOTA_Chat_Rune_Bottle_Illusion"	"%s1 bir <font color='#FFD700'>İllüzyon</font> rünü şişeledi."
"[english]DOTA_Chat_Rune_Bottle_Illusion"	"%s1 has bottled an <font color='#FFD700'>Illusion</font> rune."
"DOTA_Chat_Rune_Bottle_Invisibility"	"%s1 bir <font color='#8B008B'>Görünmezlik</font> rünü şişeledi."
"[english]DOTA_Chat_Rune_Bottle_Invisibility"	"%s1 has bottled an <font color='#8B008B'>Invisibility</font> rune."
"DOTA_Chat_Rune_Bottle_Regeneration"	"%s1 bir <font color='#7FFF00'>Yenilenme</font> rünü şişeledi."
"[english]DOTA_Chat_Rune_Bottle_Regeneration"	"%s1 has bottled a <font color='#7FFF00'>Regeneration</font> rune."
"DOTA_Chat_NoHero"	"Kahraman Yok"
"[english]DOTA_Chat_NoHero"	"No Hero"
"DOTA_Chat_InTheBag"	"%s1 sepetledi!"
"[english]DOTA_Chat_InTheBag"	"%s1 has bagged it!"
"DOTA_Chat_SecretShop"	"%s1 almak için gizli dükkana git"
"[english]DOTA_Chat_SecretShop"	"Go to the secret shop to get a %s1"
"DOTA_Chat_ItemAutoPurchased"	"%s1 senin için alındı!"
"[english]DOTA_Chat_ItemAutoPurchased"	"The item %s1 has been purchased for you!"
"DOTA_Chat_ItemsCombined"	"Eşyaların %s1 yaratmak için birleştirildi!"
"[english]DOTA_Chat_ItemsCombined"	"Your items have combined to form a %s1!"
"DOTA_Chat_CourierLostGood"	"Radiant'ın kuryesi öldürüldü."
"[english]DOTA_Chat_CourierLostGood"	"Radiant's courier has been killed."
"DOTA_Chat_CourierLostBad"	"Dire'ın kuryesi öldürüldü."
"[english]DOTA_Chat_CourierLostBad"	"Dire's courier has been killed."
"DOTA_Chat_GlyphUsedGood"	"Radiant yapıları kuvvetlendirildi."
"[english]DOTA_Chat_GlyphUsedGood"	"Radiant structures have been fortified."
"DOTA_Chat_GlyphUsedBad"	"Dire yapıları kuvvetlendirildi."
"[english]DOTA_Chat_GlyphUsedBad"	"Dire structures have been fortified."
"DOTA_Chat_CantUseActionItem"	"'%s1' şu anda kullanılamaz - %s2."
"[english]DOTA_Chat_CantUseActionItem"	"You can't use '%s1' right now - %s2."
"DOTA_Chat_ChargesExhausted"	"'%s1' eşyasının son şarjını kullandın."
"[english]DOTA_Chat_ChargesExhausted"	"You have used the last charge on your item '%s1'."
"DOTA_Chat_Bot_Gank"	"%s1 kulvara saldırıyorum!"
"[english]DOTA_Chat_Bot_Gank"	"Attacking %s1!"
"DOTA_Chat_Bot_PushTower"	"%s1 kulvarı itiyorum"
"[english]DOTA_Chat_Bot_PushTower"	"Pushing %s1"
"DOTA_Chat_Bot_Defend"	"%s1 kulvarı savunuyorum"
"[english]DOTA_Chat_Bot_Defend"	"Defending %s1"
"DOTA_Chat_Bot_Roam"	"%s1 kulvara pusu kurmaya geliyorum"
"[english]DOTA_Chat_Bot_Roam"	"Roaming to %s1 to gank"
"DOTA_Chat_Bot_RoamGank"	"%s1'a saldır!"
"[english]DOTA_Chat_Bot_RoamGank"	"Go on %s1!"
"DOTA_Chat_Bot_GankRetreat"	"Ben kaçtım"
"[english]DOTA_Chat_Bot_GankRetreat"	"I'm out"
"DOTA_Chat_Bot_RuneTop"	"Üst rünü kontrol ediyorum"
"[english]DOTA_Chat_Bot_RuneTop"	"Checking top rune"
"DOTA_Chat_Bot_RuneBottom"	"Alt rünü kontrol ediyorum"
"[english]DOTA_Chat_Bot_RuneBottom"	"Checking bottom rune"
"DOTA_Chat_Bot_Roshan"	"Roshan'a giriyorum!"
"[english]DOTA_Chat_Bot_Roshan"	"Doing Roshan!"
"DOTA_LaneNameNone"	"üs"
"[english]DOTA_LaneNameNone"	"base"
"DOTA_LaneNameTop"	"Üst"
"[english]DOTA_LaneNameTop"	"top"
"DOTA_LaneNameMiddle"	"Orta"
"[english]DOTA_LaneNameMiddle"	"mid"
"DOTA_LaneNameBottom"	"Alt"
"[english]DOTA_LaneNameBottom"	"bot"
"DOTA_Chat_ActionItemReason_Unknown"	"şimdi zamanı değil"
"[english]DOTA_Chat_ActionItemReason_Unknown"	"now isn't a good time"
"DOTA_Chat_ActionItemReason_Dead"	"ölüsün"
"[english]DOTA_Chat_ActionItemReason_Dead"	"you are dead"
"DOTA_Chat_ActionItemReason_Cooldown"	"eşya zaten yakın zamanda kullanılmış"
"[english]DOTA_Chat_ActionItemReason_Cooldown"	"the item was used recently"
"DOTA_MiniKillCam_KillerInfo"	"%s1\nTARAFINDAN ÖLDÜRÜLDÜ"
"[english]DOTA_MiniKillCam_KillerInfo"	"KILLED BY\n%s1"
"DOTA_MiniKillCam_ReadytoRespawn"	"Canlanmaya hazırlan!"
"[english]DOTA_MiniKillCam_ReadytoRespawn"	"Get ready to respawn!"
"DOTA_MiniKillcam_TotalDamage"	"%s1 HSR"
"[english]DOTA_MiniKillcam_TotalDamage"	"%s1 DMG"
"DOTA_MiniKillcam_OtherDamage"	"Yaratık Hasarı"
"[english]DOTA_MiniKillcam_OtherDamage"	"Creep Damage"
"DOTA_MiniKillcam_KilledByGood"	"ÖLDÜREN:\nRadiant"
"[english]DOTA_MiniKillcam_KilledByGood"	"KILLED BY\nThe Radiant!"
"DOTA_MiniKillcam_KilledByBad"	"ÖLDÜREN:\nDire"
"[english]DOTA_MiniKillcam_KilledByBad"	"KILLED BY\nThe Dire!"
"DOTA_MiniKillcam_Timer"	"%s1:%s2"
"[english]DOTA_MiniKillcam_Timer"	"%s1:%s2"
"DOTA_Chat_Good"	"Radiant"
"[english]DOTA_Chat_Good"	"The Radiant"
"DOTA_Chat_Bad"	"Dire"
"[english]DOTA_Chat_Bad"	"The Dire"
