"lang"
{
"Language"	"russian"
"DOTA_ControlGroup6"	"6-я подконтрольная группа"
"[english]DOTA_ControlGroup6"	"Control Group 6"
"DOTA_Escape"	"Выход"
"[english]DOTA_Escape"	"Escape"
"DOTA_Scoreboard"	"Таблица результатов"
"[english]DOTA_Scoreboard"	"Scoreboard"
"DOTA_Screenshot"	"Скриншот"
"[english]DOTA_Screenshot"	"Screenshot"
"DOTA_Voice"	"Голос"
"[english]DOTA_Voice"	"Voice"
"DOTA_VoiceLane"	"Голос (на линии)"
"[english]DOTA_VoiceLane"	"Voice Lane"
"DOTA_ChatGlobal"	"Общий чат"
"[english]DOTA_ChatGlobal"	"Chat All"
"DOTA_ChatTeam"	"Командный чат"
"[english]DOTA_ChatTeam"	"Chat Team"
"DOTA_Learn_Abilities"	"Изучить способность"
"[english]DOTA_Learn_Abilities"	"Ability Learn"
"DOTA_Learn_Stats"	"Повысить характеристики"
"[english]DOTA_Learn_Stats"	"Upgrade Stats"
"DOTA_UseActionItem_Key"	"Активный предмет"
"[english]DOTA_UseActionItem_Key"	"Action Item"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Уровень характеристик: "
"[english]DOTA_StatTooltip_TotalAttributesSkilled"	"Attributes Level: "
"DOTA_DmgArmorTooltip_AttackSpeed"	"Скорость атаки: "
"[english]DOTA_DmgArmorTooltip_AttackSpeed"	"Attack Speed: "
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"сек. на атаку"
"[english]DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"s per attack"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Скорость передвижения: "
"[english]DOTA_DmgArmorTooltip_MoveSpeed"	"Movement Speed: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Урон: "
"[english]DOTA_DmgArmorTooltip_AttackDamage"	"Attack Damage: "
"DOTA_DmgArmorTooltip_AttackRange"	"Дальность атаки: "
"[english]DOTA_DmgArmorTooltip_AttackRange"	"Attack Range: "
"DOTA_DmgArmorTooltip_Armor"	"Физическая броня: "
"[english]DOTA_DmgArmorTooltip_Armor"	"Physical Armor: "
"DOTA_DmgArmorTooltip_DmgResist"	"Сопротивление физическому урону: "
"[english]DOTA_DmgArmorTooltip_DmgResist"	"Physical Damage Resistance: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Магическая броня: "
"[english]DOTA_DmgArmorTooltip_MagicArmor"	"Magical Armor: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Сопротивление магическому урону: "
"[english]DOTA_DmgArmorTooltip_MagicDmgResist"	"Magical Damage Resistance: "
"DOTA_HeroTaunt_Key"	"Насмешка"
"[english]DOTA_HeroTaunt_Key"	"Taunt Item"
"DOTAUI_AspectNormal"	"4:3"
"[english]DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"[english]DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"[english]DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"На весь экран"
"[english]DOTAUI_Fullscreen"	"Fullscreen"
"DOTAUI_Window"	"В окне"
"[english]DOTAUI_Window"	"Window"
"DOTAUI_BorderlessWindow"	"В окне без рамки"
"[english]DOTAUI_BorderlessWindow"	"Borderless Window"
"DOTA_Welcome"	"Добро пожаловать в DotA"
"[english]DOTA_Welcome"	"Welcome to DotA"
"DOTA_Chat_Team"	"[СОЮЗНИКАМ] %s1: %s2"
"[english]DOTA_Chat_Team"	"[ALLIES] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*МЕРТВ*[СОЮЗНИКАМ] %s1: %s2"
"[english]DOTA_Chat_Team_Dead"	"*DEAD*[ALLIES] %s1: %s2"
"DOTA_Chat_Spec"	"[Зритель] %s1: %s2"
"[english]DOTA_Chat_Spec"	"[Spectator] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"[english]DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1 получает %s3 золота за голову %s2!"
"[english]DOTA_Chat_PlayerKilled"	"%s1 just pwned %s2's head for %s3 gold!"
"DOTA_Chat_PlayerDenied"	"%s1 не отдает врагу игрока %s2!"
"[english]DOTA_Chat_PlayerDenied"	"%s1 just denied %s2!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 совершает самоубийство!"
"[english]DOTA_Chat_PlayerDeniedSelf"	"%s1 just committed suicide!"
"DOTA_Chat_PlayerKilledGood"	"%s1 убит силами Тьмы!"
"[english]DOTA_Chat_PlayerKilledGood"	"%s1 was just killed by The Dire!"
"DOTA_Chat_PlayerKilledBad"	"%s1 убит силами Света!"
"[english]DOTA_Chat_PlayerKilledBad"	"%s1 was just killed by The Radiant!"
"DOTA_Chat_PlayerKilledGeneric"	"%s1 убит нейтралами!"
"[english]DOTA_Chat_PlayerKilledGeneric"	"%s1 was just killed by a Neutral!"
"DOTA_Chat_PlayerKilledAssist"	"%s1 убит! %s2 золота поделено между нападавшими:"
"[english]DOTA_Chat_PlayerKilledAssist"	"%s1 was just killed! %s2 gold is split among assists:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 разрушил башню!"
"[english]DOTA_Chat_TowerPlayerKilled"	"%s1 destroyed a tower!"
"DOTA_Chat_TowerKilledGood"	"Силы Тьмы разрушили башню!"
"[english]DOTA_Chat_TowerKilledGood"	"A tower was destroyed by The Dire!"
"DOTA_Chat_TowerKilledBad"	"Силы Света разрушили башню!"
"[english]DOTA_Chat_TowerKilledBad"	"A tower was destroyed by The Radiant!"
"DOTA_Chat_BarracksKilled"	"Казармы %s3 сил %s1 на %s2 линии уничтожены!"
"[english]DOTA_Chat_BarracksKilled"	"%s1 %s2 %s3 Barracks has been destroyed!"
"DOTA_Chat_TowerDenied"	"%s1 не отдал башню врагу!"
"[english]DOTA_Chat_TowerDenied"	"%s1 denied a tower!"
"DOTA_Chat_FirstBlood"	"%s1 проливает первую кровь, убив %s2!"
"[english]DOTA_Chat_FirstBlood"	"%s1 drew first blood by killing %s2"
"DOTA_Chat_DoubleKill"	"%s1 совершает двойное убийство!"
"[english]DOTA_Chat_DoubleKill"	"%s1 got a double kill!"
"DOTA_Chat_TripleKill"	"%s1 совершает ТРОЙНОЕ убийство!"
"[english]DOTA_Chat_TripleKill"	"%s1 has a TRIPLE kill!"
"DOTA_Chat_QuadKill"	"%s1 совершил МАССОВОЕ УБИЙСТВО!"
"[english]DOTA_Chat_QuadKill"	"%s1 earned an ULTRA KILL!"
"DOTA_Chat_QuintupleKill"	"%s1 БУЙСТВУЕТ!!"
"[english]DOTA_Chat_QuintupleKill"	"%s1 IS ON A RAMPAGE!!"
"DOTA_Chat_KillStreak_3"	"серию убийств"
"[english]DOTA_Chat_KillStreak_3"	"killing spree"
"DOTA_Chat_KillStreak_4"	"превосходен"
"[english]DOTA_Chat_KillStreak_4"	"dominating"
"DOTA_Chat_KillStreak_5"	"совершил мега-убийство"
"[english]DOTA_Chat_KillStreak_5"	"mega kill"
"DOTA_Chat_KillStreak_6"	"неудержим"
"[english]DOTA_Chat_KillStreak_6"	"unstoppable"
"DOTA_Chat_KillStreak_7"	"свирепствует"
"[english]DOTA_Chat_KillStreak_7"	"wicked sick"
"DOTA_Chat_KillStreak_8"	"зверское убийство"
"[english]DOTA_Chat_KillStreak_8"	"monster kill"
"DOTA_Chat_KillStreak_9"	"БОГОПОДОБЕН"
"[english]DOTA_Chat_KillStreak_9"	"GODLIKE"
"DOTA_Chat_KillStreak_10"	"GODLIKE"
"[english]DOTA_Chat_KillStreak_10"	"GODLIKE"
"DOTA_Chat_KillStreakIs"	"%s1 %s2"
"[english]DOTA_Chat_KillStreakIs"	"%s1 is %s2"
"DOTA_Chat_KillStreakIsOn"	"%s1 совершает %s2"
"[english]DOTA_Chat_KillStreakIsOn"	"%s1 is on a %s2"
"DOTA_Chat_KillStreakHas"	"%s1 %s2"
"[english]DOTA_Chat_KillStreakHas"	"%s1 has a %s2"
"DOTA_Chat_KillStreakMax"	"%s1 уже больше, чем %s2, да убейте же его наконец!!"
"[english]DOTA_Chat_KillStreakMax"	"%s1 is beyond %s2, someone kill him!!"
"DOTA_Chat_KillStreak_Ended"	"%s1 прервал %s3 %s2 и получил %s4 золота!"
"[english]DOTA_Chat_KillStreak_Ended"	"%s1 has just ended %s2’s %s3 streak for %s4 gold!"
"DOTA_Chat_BuyBack"	"%s1 выкупился в игру!"
"[english]DOTA_Chat_BuyBack"	"%s1 just bought back into the game!"
"DOTA_Chat_PickedUpAegis"	"%s1 подбирает Aegis of the Immortal!"
"[english]DOTA_Chat_PickedUpAegis"	"%s1 picked up Aegis of the Immortal!"
"DOTA_Chat_KilledRoshanGood"	"Силы Света убили Рошана! Каждый герой Сил Света получил по %s1 золота!"
"[english]DOTA_Chat_KilledRoshanGood"	"Roshan has been killed by the Radiant! %s1 gold to each hero of The Radiant!"
"DOTA_Chat_KilledRoshanBad"	"Силы Тьмы убили Рошана! Каждый герой сил Тьмы получил по %s1 золота!"
"[english]DOTA_Chat_KilledRoshanBad"	"Roshan has been killed by the Dire! %s1 gold to each hero of The Dire!"
"DOTA_Chat_SuperCreepsGood"	"Все казармы сил Тьмы разрушены. Теперь у сил Света мегакрипы!"
"[english]DOTA_Chat_SuperCreepsGood"	"All of the Dire Barracks have fallen. The Radiant now have Mega creeps!"
"DOTA_Chat_SuperCreepsBad"	"Все казармы сил Света разрушены. Теперь у сил Тьмы мегакрипы!"
"[english]DOTA_Chat_SuperCreepsBad"	"All of the Radiant Barracks have fallen. The Dire now have Mega creeps!"
"DOTA_Chat_ItemPurchase"	"%s1 приобрел %s2!"
"[english]DOTA_Chat_ItemPurchase"	"%s1 just purchased %s2!"
"DOTA_Chat_Connect"	"%s1 подключился к игре."
"[english]DOTA_Chat_Connect"	"%s1 has connected to the game."
"DOTA_Chat_Disconnect"	"%s1 отключился от игры."
"[english]DOTA_Chat_Disconnect"	"%s1 has disconnected from the game."
"DOTA_Chat_DisconnectWaitForReconnect"	"%s1 отключился от игры. Пожалуйста, дождитесь его повторного подключения."
"[english]DOTA_Chat_DisconnectWaitForReconnect"	"%s1 has disconnected from the game. Please wait for them to reconnect."
"DOTA_Chat_DisconnectTimeRemaining"	"<font color='#FF0000'><b>У %s1 осталась %s2 минута для повторного подключения.</b></font>"
"[english]DOTA_Chat_DisconnectTimeRemaining"	"<font color='#FF0000'><b>%s1 has %s2 minute left to reconnect.</b></font>"
"DOTA_Chat_DisconnectTimeRemainingPlural"	"<font color='#FF0000'><b>У %s1 осталось %s2 мин. для повторного подключения.</b></font>"
"[english]DOTA_Chat_DisconnectTimeRemainingPlural"	"<font color='#FF0000'><b>%s1 has %s2 minutes left to reconnect.</b></font>"
"DOTA_Chat_SafeToLeave"	"<font color='#00FF00'><b>Теперь эту игру можно спокойно покинуть.</b></font>"
"[english]DOTA_Chat_SafeToLeave"	"<font color='#00FF00'><b>This game is now safe to leave.</b></font>"
"DOTA_Chat_Reconnect"	"%s1 переподключился к игре."
"[english]DOTA_Chat_Reconnect"	"%s1 has reconnected to the game."
"DOTA_Chat_Abandon"	"%s1 бросил игру. Если данный игрок состоял в вашей группе, то вы получите малый штраф."
"[english]DOTA_Chat_Abandon"	"%s1 has abandoned the game. If the abandoning member is in your party, you will receive a secondary abandon on your account."
"DOTA_Chat_Rune_DoubleDamage"	"%s1 задействовал руну <font color='#82CAFF'>двойного урона</font>."
"[english]DOTA_Chat_Rune_DoubleDamage"	"%s1 activated a <font color='#82CAFF'>Double Damage</font> rune."
"DOTA_Chat_Rune_Haste"	"%s1 задействовал руну <font color='#F62817'>ускорения</font>."
"[english]DOTA_Chat_Rune_Haste"	"%s1 activated a <font color='#F62817'>Haste</font> rune."
"DOTA_Chat_Rune_Illusion"	"%s1 задействовал руну <font color='#FFD700'>иллюзий</font>."
"[english]DOTA_Chat_Rune_Illusion"	"%s1 activated an <font color='#FFD700'>Illusion</font> rune."
"DOTA_Chat_Rune_Invisibility"	"%s1 задействовал руну <font color='#8B008B'>невидимости</font>."
"[english]DOTA_Chat_Rune_Invisibility"	"%s1 activated an <font color='#8B008B'>Invisibility</font> rune."
"DOTA_Chat_Rune_Regeneration"	"%s1 задействовал руну <font color='#7FFF00'>регенерации</font>."
"[english]DOTA_Chat_Rune_Regeneration"	"%s1 activated a <font color='#7FFF00'>Regeneration</font> rune."
"DOTA_Chat_Rune_Bottle_DoubleDamage"	"%s1 поместил в бутыль руну <font color='#82CAFF'>двойного урона</font>."
"[english]DOTA_Chat_Rune_Bottle_DoubleDamage"	"%s1 has bottled a <font color='#82CAFF'>Double Damage</font> rune."
"DOTA_Chat_Rune_Bottle_Haste"	"%s1 поместил в бутыль руну <font color='#F62817'>ускорения</font>."
"[english]DOTA_Chat_Rune_Bottle_Haste"	"%s1 has bottled a <font color='#F62817'>Haste</font> rune."
"DOTA_Chat_Rune_Bottle_Illusion"	"%s1 поместил в бутыль руну <font color='#FFD700'>иллюзий</font>."
"[english]DOTA_Chat_Rune_Bottle_Illusion"	"%s1 has bottled an <font color='#FFD700'>Illusion</font> rune."
"DOTA_Chat_Rune_Bottle_Invisibility"	"%s1 поместил в бутыль руну <font color='#8B008B'>невидимости</font>."
"[english]DOTA_Chat_Rune_Bottle_Invisibility"	"%s1 has bottled an <font color='#8B008B'>Invisibility</font> rune."
"DOTA_Chat_Rune_Bottle_Regeneration"	"%s1 поместил в бутыль руну <font color='#7FFF00'>регенерации</font>."
"[english]DOTA_Chat_Rune_Bottle_Regeneration"	"%s1 has bottled a <font color='#7FFF00'>Regeneration</font> rune."
"DOTA_Chat_NoHero"	"Без героя"
"[english]DOTA_Chat_NoHero"	"No Hero"
"DOTA_Chat_InTheBag"	"%s1 подбирает его!"
"[english]DOTA_Chat_InTheBag"	"%s1 has bagged it!"
"DOTA_Chat_SecretShop"	"Направляйтесь в потайную лавку, чтобы приобрести %s1"
"[english]DOTA_Chat_SecretShop"	"Go to the secret shop to get a %s1"
"DOTA_Chat_ItemAutoPurchased"	"Вам купили %s1!"
"[english]DOTA_Chat_ItemAutoPurchased"	"The item %s1 has been purchased for you!"
"DOTA_Chat_ItemsCombined"	"Ваши предметы были объединены в %s1!"
"[english]DOTA_Chat_ItemsCombined"	"Your items have combined to form a %s1!"
"DOTA_Chat_CourierLostGood"	"Курьер сил Света был убит."
"[english]DOTA_Chat_CourierLostGood"	"Radiant's courier has been killed."
"DOTA_Chat_CourierLostBad"	"Курьер сил Тьмы был убит."
"[english]DOTA_Chat_CourierLostBad"	"Dire's courier has been killed."
"DOTA_Chat_GlyphUsedGood"	"Силы Света укрепили свои сооружения."
"[english]DOTA_Chat_GlyphUsedGood"	"Radiant structures have been fortified."
"DOTA_Chat_GlyphUsedBad"	"Силы Тьмы укрепили свои сооружения."
"[english]DOTA_Chat_GlyphUsedBad"	"Dire structures have been fortified."
"DOTA_Chat_CantUseActionItem"	"Вы не можете использовать «%s1» прямо сейчас — %s2."
"[english]DOTA_Chat_CantUseActionItem"	"You can't use '%s1' right now - %s2."
"DOTA_Chat_ChargesExhausted"	"Вы использовали последний заряд предмета «%s1»."
"[english]DOTA_Chat_ChargesExhausted"	"You have used the last charge on your item '%s1'."
"DOTA_Chat_Bot_Gank"	"Атакую %s1!"
"[english]DOTA_Chat_Bot_Gank"	"Attacking %s1!"
"DOTA_Chat_Bot_PushTower"	"Атакую %s1"
"[english]DOTA_Chat_Bot_PushTower"	"Pushing %s1"
"DOTA_Chat_Bot_Defend"	"Защищаю %s1"
"[english]DOTA_Chat_Bot_Defend"	"Defending %s1"
"DOTA_Chat_Bot_Roam"	"Собираюсь напасть на %s1"
"[english]DOTA_Chat_Bot_Roam"	"Roaming to %s1 to gank"
"DOTA_Chat_Bot_RoamGank"	"Нападаем на %s1!"
"[english]DOTA_Chat_Bot_RoamGank"	"Go on %s1!"
"DOTA_Chat_Bot_GankRetreat"	"Отступаю"
"[english]DOTA_Chat_Bot_GankRetreat"	"I'm out"
"DOTA_Chat_Bot_RuneTop"	"Проверяю верхнюю руну"
"[english]DOTA_Chat_Bot_RuneTop"	"Checking top rune"
"DOTA_Chat_Bot_RuneBottom"	"Проверяю нижнюю руну"
"[english]DOTA_Chat_Bot_RuneBottom"	"Checking bottom rune"
"DOTA_Chat_Bot_Roshan"	"Бью Рошана!"
"[english]DOTA_Chat_Bot_Roshan"	"Doing Roshan!"
"DOTA_LaneNameNone"	"на базе"
"[english]DOTA_LaneNameNone"	"base"
"DOTA_LaneNameTop"	"верхнюю линию"
"[english]DOTA_LaneNameTop"	"top"
"DOTA_LaneNameMiddle"	"центральную линию"
"[english]DOTA_LaneNameMiddle"	"mid"
"DOTA_LaneNameBottom"	"нижнюю линию"
"[english]DOTA_LaneNameBottom"	"bot"
"DOTA_Chat_ActionItemReason_Unknown"	"сейчас неподходящее время"
"[english]DOTA_Chat_ActionItemReason_Unknown"	"now isn't a good time"
"DOTA_Chat_ActionItemReason_Dead"	"вы мертвы"
"[english]DOTA_Chat_ActionItemReason_Dead"	"you are dead"
"DOTA_Chat_ActionItemReason_Cooldown"	"предмет был недавно использован"
"[english]DOTA_Chat_ActionItemReason_Cooldown"	"the item was used recently"
"DOTA_MiniKillCam_KillerInfo"	"ВАС УБИЛ:\n%s1"
"[english]DOTA_MiniKillCam_KillerInfo"	"KILLED BY\n%s1"
"DOTA_MiniKillCam_ReadytoRespawn"	"Приготовьтесь к возрождению!"
"[english]DOTA_MiniKillCam_ReadytoRespawn"	"Get ready to respawn!"
"DOTA_MiniKillcam_TotalDamage"	"%s1 УРОНА"
"[english]DOTA_MiniKillcam_TotalDamage"	"%s1 DMG"
"DOTA_MiniKillcam_OtherDamage"	"Урон от крипов"
"[english]DOTA_MiniKillcam_OtherDamage"	"Creep Damage"
"DOTA_MiniKillcam_KilledByGood"	"ВАС УБИЛИ\nсилы Света!"
"[english]DOTA_MiniKillcam_KilledByGood"	"KILLED BY\nThe Radiant!"
"DOTA_MiniKillcam_KilledByBad"	"ВАС УБИЛИ\nсилы Тьмы!"
"[english]DOTA_MiniKillcam_KilledByBad"	"KILLED BY\nThe Dire!"
"DOTA_MiniKillcam_Timer"	"%s1:%s2"
"[english]DOTA_MiniKillcam_Timer"	"%s1:%s2"
"DOTA_Chat_Good"	"Света"
"[english]DOTA_Chat_Good"	"The Radiant"
"DOTA_Chat_Bad"	"Тьмы"
"[english]DOTA_Chat_Bad"	"The Dire"
"DOTA_Chat_Melee"	"ближнего боя"
"[english]DOTA_Chat_Melee"	"Melee"
"DOTA_Chat_Ranged"	"дальнего боя"
"[english]DOTA_Chat_Ranged"	"Ranged"
"DOTA_Chat_LaneTop"	"верхней"
"[english]DOTA_Chat_LaneTop"	"Top"
"DOTA_Chat_LaneMid"	"центральной"
"[english]DOTA_Chat_LaneMid"	"Mid"
"DOTA_Chat_LaneBot"	"нижней"
"[english]DOTA_Chat_LaneBot"	"Bottom"
"DOTA_Lobby_Player_Joined"	"%s1 присоединился."
"[english]DOTA_Lobby_Player_Joined"	"%s1 joined."
