"lang"
{
"Language"	"korean"
"[english]announcer_announcer_rax_attack_rad_mid"	"Radiant's middle barracks are under attack."
"announcer_announcer_rax_attack_rad_bot"	"래디언트 하부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_rad_bot"	"Radiant's bottom barracks are under attack."
"announcer_announcer_rax_attack_dire_top"	"다이어 상부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_dire_top"	"Dire's top barracks are under attack."
"announcer_announcer_rax_attack_dire_mid"	"다이어 중부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_dire_mid"	"Dire's middle barracks are under attack."
"announcer_announcer_rax_attack_dire_bot"	"다이어 하부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_dire_bot"	"Dire's bottom barracks are under attack."
"announcer_announcer_rax_fall_yr_top"	"상부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_yr_top"	"Your top barracks has fallen."
"announcer_announcer_rax_fall_yr_mid"	"중부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_yr_mid"	"Your middle barracks has fallen."
"announcer_announcer_rax_fall_yr_bot"	"하부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_yr_bot"	"Your bottom barracks has fallen."
"announcer_announcer_rax_fall_rad_top"	"래디언트 상부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_rad_top"	"Radiant's top barracks has fallen."
"announcer_announcer_rax_fall_rad_mid"	"래디언트 중부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_rad_mid"	"Radiant's middle barracks has fallen."
"announcer_announcer_rax_fall_rad_bot"	"래디언트 하부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_rad_bot"	"Radiant's bottom barracks has fallen."
"announcer_announcer_rax_fall_dire_top"	"다이어 상부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_dire_top"	"Dire's top barracks has fallen."
"announcer_announcer_rax_fall_dire_mid"	"다이어 중부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_dire_mid"	"Dire's middle barracks has fallen."
"announcer_announcer_rax_fall_dire_bot"	"다이어 하부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_dire_bot"	"Dire's bottom barracks has fallen."
"announcer_announcer_rax_fall_enm_top"	"적군의 상부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_enm_top"	"The enemy's top barracks has fallen."
"announcer_announcer_rax_fall_enm_mid"	"적군의 중부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_enm_mid"	"The enemy's middle barracks has fallen."
"announcer_announcer_rax_fall_enm_bot"	"적군의 하부 병영이 파괴되었습니다."
"[english]announcer_announcer_rax_fall_enm_bot"	"The enemy's bottom barracks has fallen."
"announcer_announcer_twr_deny_yr_top"	"상부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_yr_top"	"Your top tower has been denied."
"announcer_announcer_twr_deny_yr_mid"	"중부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_yr_mid"	"Your middle tower has been denied."
"announcer_announcer_twr_deny_yr_bot"	"하부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_yr_bot"	"Your bottom tower has been denied."
"announcer_announcer_twr_deny_enm_top"	"적군의 상부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_enm_top"	"The enemy's top tower has been denied."
"announcer_announcer_twr_deny_enm_mid"	"적군의 중부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_enm_mid"	"The enemy's middle tower has been denied."
"announcer_announcer_twr_deny_enm_bot"	"적군의 하부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_enm_bot"	"The enemy's bottom tower has been denied."
"announcer_announcer_twr_deny_rad_top"	"래디언트의 상부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_rad_top"	"Radiant's top tower has been denied."
"announcer_announcer_twr_deny_rad_mid"	"래디언트의 중부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_rad_mid"	"Radiant's middle tower has been denied."
"announcer_announcer_twr_deny_rad_bot"	"래디언트의 하부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_rad_bot"	"Radiant's bottom tower has been denied."
"announcer_announcer_twr_deny_dire_top"	"다이어의 상부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_dire_top"	"Dire's top tower has been denied."
"announcer_announcer_twr_deny_dire_mid"	"다이어의 중부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_dire_mid"	"Dire's middle tower has been denied."
"announcer_announcer_twr_deny_dire_bot"	"다이어의 하부 포탑이 디나이되었습니다."
"[english]announcer_announcer_twr_deny_dire_bot"	"Dire's bottom tower has been denied."
"announcer_announcer_fort_dire"	"다이어의 구조물이 강화되었습니다."
"[english]announcer_announcer_fort_dire"	"Dire's structures are fortified."
"announcer_announcer_fort_rad"	"래디언트의 구조물이 강화되었습니다."
"[english]announcer_announcer_fort_rad"	"Radiant's structures are fortified."
"announcer_announcer_cour_kill_dire"	"다이어의 짐꾼이 죽었습니다."
"[english]announcer_announcer_cour_kill_dire"	"Dire's courier has been killed."
"announcer_announcer_cour_kill_rad"	"래디언트의 짐꾼이 죽었습니다."
"[english]announcer_announcer_cour_kill_rad"	"Radiant's courier has been killed."
"announcer_announcer_mega_now_you"	"이제 상급 크립이 생성됩니다."
"[english]announcer_announcer_mega_now_you"	"You now have megacreeps."
"announcer_announcer_mega_now_enm"	"이제 적군의 상급 크립이 생성됩니다."
"[english]announcer_announcer_mega_now_enm"	"The enemy now has megacreeps."
"announcer_announcer_mega_now_dire"	"이제 다이어 진영에서 상급 크립이 생성됩니다."
"[english]announcer_announcer_mega_now_dire"	"The Dire now have megacreeps."
"announcer_announcer_mega_now_rad"	"이제 래디언트 진영에서 상급 크립이 생성됩니다."
"[english]announcer_announcer_mega_now_rad"	"The Radiant now have megacreeps."
"announcer_announcer_roshan_fallen_dire"	"로샨이 다이어의 영웅에게 죽었습니다!"
"[english]announcer_announcer_roshan_fallen_dire"	"Roshan has fallen to the Dire!"
"announcer_announcer_roshan_fallen_rad"	"로샨이 래디언트의 영웅에게 죽었습니다!"
"[english]announcer_announcer_roshan_fallen_rad"	"Roshan has fallen to the Radiant!"
"announcer_announcer_victory_dire"	"다이어가 승리했습니다!"
"[english]announcer_announcer_victory_dire"	"Dire victory!"
"announcer_announcer_victory_rad"	"래디언트가 승리했습니다!"
"[english]announcer_announcer_victory_rad"	"Radiant victory!"
"announcer_announcer_type_all_pick"	"자유 선택"
"[english]announcer_announcer_type_all_pick"	"All Pick."
"announcer_announcer_type_all_random"	"전체 무작위"
"[english]announcer_announcer_type_all_random"	"All Random."
"announcer_announcer_type_capt_draft"	"캡틴 선발"
"[english]announcer_announcer_type_capt_draft"	"Captain's Draft."
"announcer_announcer_type_capt_mode"	"캡틴 모드"
"[english]announcer_announcer_type_capt_mode"	"Captains Mode."
"announcer_announcer_type_random_draft"	"무작위 선발"
"[english]announcer_announcer_type_random_draft"	"Random Draft."
"announcer_announcer_type_single_draft"	"개별 선발"
"[english]announcer_announcer_type_single_draft"	"Single Draft."
"announcer_announcer_type_death_match"	"섬멸전"
"[english]announcer_announcer_type_death_match"	"Death Match."
"announcer_announcer_type_easy_mode"	"간편 모드"
"[english]announcer_announcer_type_easy_mode"	"Easy Mode."
"announcer_announcer_type_rev_capt_mode"	"역선택 캡틴 모드"
"[english]announcer_announcer_type_rev_capt_mode"	"Reverse Captain's Mode."
"announcer_announcer_type_mid_only"	"중부 전투"
"[english]announcer_announcer_type_mid_only"	"Mid Only."
"announcer_announcer_type_least_played"	"최소 플레이 영웅"
"[english]announcer_announcer_type_least_played"	"Least Played."
"announcer_announcer_type_onevsone_01"		"1대1."
"[english]announcer_announcer_type_onevsone_01"		"One Versus One."
"announcer_announcer_type_ability_draft_01"		"능력 조합"
"[english]announcer_announcer_type_ability_draft_01"		"Ability Draft"
"announcer_announcer_time_extra"	"추가 시간입니다."
"[english]announcer_announcer_time_extra"	"Extra time."
"announcer_announcer_time_reserve_using"	"예비 시간입니다."
"[english]announcer_announcer_time_reserve_using"	"You are using Reserve Time."
"announcer_announcer_time_extra_using"	"추가 시간입니다."
"[english]announcer_announcer_time_extra_using"	"You are using Extra Time."
"announcer_announcer_alert_disconnection"	"접속 종료."
"[english]announcer_announcer_alert_disconnection"	"Disconnection."
"announcer_announcer_alert_reconnection"	"재접속."
"[english]announcer_announcer_alert_reconnection"	"Reconnection."
"announcer_announcer_missing_lane_01"	"상부가 비었습니다."
"[english]announcer_announcer_missing_lane_01"	"Top is missing."
"announcer_announcer_missing_lane_02"	"중부가 비었습니다."
"[english]announcer_announcer_missing_lane_02"	"Middle is missing."
"announcer_announcer_missing_lane_03"	"하부가 비었습니다."
"[english]announcer_announcer_missing_lane_03"	"Bottom is missing."
"announcer_announcer_intl2012_game_01"	"제 1경기"
"[english]announcer_announcer_intl2012_game_01"	"Game 1."
"announcer_announcer_intl2012_game_02"	"제 2경기"
"[english]announcer_announcer_intl2012_game_02"	"Game 2."
"announcer_announcer_intl2012_game_03"	"제 3경기"
"[english]announcer_announcer_intl2012_game_03"	"Game 3."
"announcer_announcer_intl2012_game_04"	"제 4경기"
"[english]announcer_announcer_intl2012_game_04"	"Game 4"
"announcer_announcer_intl2012_game_05"	"제 5경기"
"[english]announcer_announcer_intl2012_game_05"	"Game 5."
"announcer_announcer_intl2012_game_06"	"결승전."
"[english]announcer_announcer_intl2012_game_06"	"Final game."
"announcer_announcer_intl2012_itemgranted_01"	"아이템이 지급되었습니다."
"[english]announcer_announcer_intl2012_itemgranted_01"	"You have been granted an item."
"announcer_announcer_intl2012_itemgranted_02"	"아이템이 지급되었습니다."
"[english]announcer_announcer_intl2012_itemgranted_02"	"An item has been granted."
"announcer_announcer_intl2012_teamnameban_04"	"Orange 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_04"	"Orange's turn to ban."
"announcer_announcer_intl2012_teamnameban_10"	"Zenith 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_10"	"Zenith's turn to ban."
"announcer_announcer_intl2012_teamnameban_15"	"TongFu 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_15"	"TongFu's turn to ban."
"announcer_announcer_intl2013_teamnameban_04"	"Team Dignitas 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_04"	"Team Dignitas' turn to ban."
"announcer_announcer_intl2013_teamnameban_06"	"Invasion MUFC 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_06"	"Invasion MUFC's turn to ban."
"announcer_announcer_intl2013_teamnameban_08"	"LGD 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_08"	"LGD International's turn to ban."
"announcer_announcer_intl2013_teamnameban_11"	"Quantic Gaming 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_11"	"Quantic Gaming's turn to ban."
"announcer_announcer_intl2013_teamnameban_12"	"RattleSnake 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_12"	"RattleSnake's turn to ban."
"announcer_ti4_ann_team_ban_01"		"얼라이언스가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_01"		"Alliance's turn to ban."
"announcer_ti4_ann_team_ban_02"		"타이탄이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_02"		"Titan's turn to ban."
"announcer_ti4_ann_team_ban_04"		"이블 지니어시스가 금지 영웅을 선택할 차례입니다.."
"[english]announcer_ti4_ann_team_ban_04"		"Evil Geniuses' turn to ban."
"announcer_ti4_ann_team_ban_06"		"프나틱이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_06"		"Fnatic's turn to ban."
"announcer_ti4_ann_team_ban_07"		"뉴비가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_07"		"NewBee's turn to ban."
"announcer_ti4_ann_team_ban_08"		"비치 게이밍이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_08"		"Vici Gaming's turn to ban."
"announcer_ti4_ann_team_ban_10"		"나비가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_10"		"Na'Vi's turn to ban."
"announcer_ti4_ann_team_ban_13"		"팀 디케이가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_13"		"Team DK's turn to ban."
"announcer_ti4_ann_team_ban_14"		"인빅투스 게이밍이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_14"		"Invictus Gaming's turn to ban."
"announcer_ti4_ann_team_ban_16"		"클라우드 나인이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_16"		"Cloud9's turn to ban."
"announcer_ti4_ann_team_ban_19"		"팀 엠파이어가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_19"		"Team Empire's turn to ban."
"announcer_ti4_ann_team_ban_20"		"나비 유에스가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_20"		"Na'Vi.US's turn to ban."
"announcer_ti4_ann_team_ban_24"		"애로우 게이밍이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_24"		"Arrow Gaming's turn to ban."
"announcer_ti4_ann_team_ban_25"		"팀 리퀴드가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_25"		"Team Liquid's turn to ban."
"announcer_ti4_ann_team_ban_27"		"엠브이피 피닉스가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_27"		"MVP Phoenix's turn to ban."
"announcer_ti4_ann_team_ban_30"		"엘지디 게이밍이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_30"		"LGD Gaming's turn to ban."
"announcer_ti4_ann_team_ban_32"		"씨아이에스 게임이 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_32"		"CIS Game's turn to ban."
"announcer_ti4_ann_team_ban_34"		"마우스스포츠가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_34"		"Mousesports' turn to ban."
"announcer_ti4_ann_team_ban_36"		"벌투스 프로가 금지 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_ban_36"		"Virtus.pro's turn to ban."
"announcer_announcer_intl2012_teamnameban_01"	"Absolute Legend 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_01"	"Absolute Legends' turn to ban."
"announcer_announcer_intl2012_teamnameban_02"		"나비가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2012_teamnameban_02"		"Na'Vi's turn to ban."
"announcer_announcer_intl2012_teamnameban_03"		"디케이가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2012_teamnameban_03"		"DK's turn to ban."
"announcer_announcer_intl2012_teamnameban_05"	"EHOME 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_05"	"EHOME's turn to ban."
"announcer_announcer_intl2012_teamnameban_06"		"아이지가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2012_teamnameban_06"		"iG's turn to ban."
"announcer_announcer_intl2012_teamnameban_07"	"compLexity 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_07"	"compLexity's turn to ban."
"announcer_announcer_intl2012_teamnameban_08"	"CLG 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_08"	"CLG's turn to ban."
"announcer_announcer_intl2012_teamnameban_09"	"EG 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_09"	"EG's turn to ban."
"announcer_announcer_intl2012_teamnameban_11"	"Darer 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_11"	"Darer's turn to ban."
"announcer_announcer_intl2012_teamnameban_12"		"엘지디가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2012_teamnameban_12"		"LGD's turn to ban."
"announcer_announcer_intl2012_teamnameban_13"	"MUFC 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_13"	"MUFC's turn to ban."
"announcer_announcer_intl2012_teamnameban_14"	"mTw 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_14"	"mTw's turn to ban."
"announcer_announcer_intl2012_teamnameban_16"	"World Elite 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_16"	"World Elite's turn to ban."
"announcer_announcer_intl2012_teamnameban_17"		"마우스스포츠가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2012_teamnameban_17"		"Mousesports' turn to ban."
"announcer_announcer_intl2012_teamnameban_18"	"Moscow Five 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnameban_18"	"Moscow Five's turn to ban."
"announcer_announcer_intl2013_teamnameban_01"		"얼라이언스가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2013_teamnameban_01"		"Alliance's turn to ban."
"announcer_announcer_intl2013_teamnameban_02"		"프나틱이 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2013_teamnameban_02"		"Fnatic's turn to ban."
"announcer_announcer_intl2013_teamnameban_03"		"팀 리퀴드가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2013_teamnameban_03"		"Team Liquid's turn to ban."
"announcer_announcer_intl2013_teamnameban_05"		"벌투스 프로가 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_intl2013_teamnameban_05"		"Virtus.Pro's turn to ban."
"announcer_announcer_intl2013_teamnameban_07"	"LGD 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_07"	"LGD's turn to ban."
"announcer_announcer_intl2013_teamnameban_09"	"LGD Cn 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_09"	"LGD Cn's turn to ban."
"announcer_announcer_intl2013_teamnameban_10"	"LGD Imposter 팀이 금지 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnameban_10"	"LGD Imposter's turn to ban."
"announcer_announcer_intl2012_teamnamepick_04"	"Orange 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_04"	"Orange's turn to pick."
"announcer_announcer_intl2012_teamnamepick_10"	"Zenith 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_10"	"Zenith's turn to pick."
"announcer_announcer_intl2012_teamnamepick_15"	"TongFu 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_15"	"TongFu's turn to pick."
"announcer_announcer_intl2013_teamnamepick_04"	"Team Dignitas 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_04"	"Team Dignitas' turn to pick."
